signatures (1 letter),length,counts
,0,931912
.,1,14109
..,2,607
...,3,40
..I,3,2
..PU,4,1
..R,3,2
.I,2,39
.P,2,36
.PI,3,5
.PP,3,1
.PR,3,2
.PU,3,2
.R,2,2
.RP,3,3
.U,2,79
.UI,3,8
.UU,3,1
C,1,16
CU,2,1
I,1,90761
I.,2,10
I.R,3,1
I.U,3,1
II,2,224
III,3,5
IP,2,41
IPI,3,4
IPP,3,4
IPR,3,7
IPRU,4,2
IPRUI,5,1
IPU,3,1
IR,2,11
IRP,3,9
IU,2,37
IUI,3,7
IUU,3,2
P,1,127281
P.,2,26
P..,3,1
P.I,3,5
P.R,3,1
PI,2,698
PII,3,1
PP,2,617
PPI,3,217
PPP,3,6
PPR,3,8
PPRUI,5,1
PPU,3,5
PR,2,18
PRP,3,4
PS,2,2
PU,2,1274
PU.,3,1
PUI,3,92
PUP,3,2
PUR,3,1
PUU,3,3
R,1,257556
R.,2,95
R.I,3,3
R.P,3,3
R.R,3,6
R.RU,4,1
R.RUI,5,1
R.U,3,3
RCI,3,1
RI,2,1366
RI.,3,1
RII,3,208
RIP,3,2
RIR,3,6
RIU,3,1
RP,2,2906
RP.,3,5
RP.UI,5,1
RPI,3,178
RPIUI,5,1
RPP,3,265
RPR,3,252
RPR.R,5,1
RPRU,4,94
RPRUI,5,105
RPRUP,5,1
RPRUR,5,2
RPRUU,5,1
RPS,3,1
RPSUI,5,1
RPU,3,248
RR,2,803
RR.,3,1
RRI,3,3
RRP,3,615
RRPI,4,1
RRPP,4,1
RRR,3,11
RRU,3,5
RS,2,3
RU,2,1808
RU.,3,3
RUI,3,518
RUIUU,5,1
RUP,3,8
RUR,3,11
RUU,3,126
S,1,754
S.,2,1
SPI,3,1
SR,2,1
U,1,45192
U.,2,6
UI,2,419
UP,2,22
UPI,3,4
UPR,3,2
UPRU,4,3
UPU,3,1
UR,2,6
URP,3,1
UU,2,834
UUI,3,7
