signatures (1 letter),length,counts
,0,3746141
.,1,7025
..,2,13
..L,3,1
.c,2,412
.c.,3,2
.c.c,4,1
.cC,3,59
.cC.,4,1
.cCc,4,1
.cCcC,5,1
.cCcT,5,1
.cL,3,3
.cT,3,11
.cTc,4,1
.l,2,53
.lC,3,6
.lT,3,1
.t,2,253
.t.,3,3
.tC,3,62
.tL,3,4
.tLt,4,1
.tT,3,7
C,1,1878528
C.,2,378
C.C,3,64
C.Cc,4,1
C.Ct,4,1
C.L,3,2
C.T,3,7
Cc,2,96000
Cc.,3,66
Cc.c,4,4
CcC,3,18885
CcC.,4,143
CcC..,5,2
CcC.C,5,26
CcC.L,5,1
CcC.T,5,1
CcCc,4,592
CcCc.,5,17
CcCcC,5,183
CcCcL,5,7
CcCcT,5,10
CcCl,4,23
CcCl.,5,2
CcClC,5,1
CcCt,4,99
CcCt.,5,1
CcCtC,5,11
CcCtL,5,1
CcCtT,5,1
CcL,3,1354
CcL.,4,10
CcL.C,5,1
CcLc,4,28
CcLcC,5,2
CcLcL,5,2
CcLl,4,1
CcLt,4,19
CcLtC,5,2
CcT,3,1767
CcT.,4,11
CcT..,5,1
CcT.C,5,4
CcTc,4,82
CcTcC,5,1
CcTl,4,12
CcTt,4,3
CcTt.,5,1
CcTtC,5,10
CcTtT,5,1
Cl,2,12553
Cl.,3,3
ClC,3,2207
ClC.,4,2
ClCc,4,5
ClCc.,5,1
ClCcC,5,1
ClCl,4,5
ClClC,5,1
ClCt,4,4
ClCt.,5,3
ClCtC,5,15
ClCtT,5,2
ClL,3,83
ClL.,4,1
ClL.C,5,2
ClLc,4,1
ClLl,4,1
ClLlL,5,1
ClT,3,471
ClT.,4,3
ClTc,4,1
ClTl,4,1
ClTtC,5,1
Ct,2,52784
Ct.,3,22
Ct.t,4,1
CtC,3,10266
CtC.,4,18
CtC..,5,1
CtC.C,5,15
CtCc,4,40
CtCc.,5,1
CtCcC,5,8
CtCl,4,6
CtCl.,5,1
CtClC,5,17
CtClL,5,1
CtCt,4,91
CtCt.,5,4
CtCtC,5,44
CtCtL,5,3
CtL,3,854
CtL.,4,2
CtLc,4,3
CtLcL,5,1
CtLt,4,12
CtLt.,5,1
CtLtC,5,1
CtT,3,1247
CtT.,4,2
CtTc,4,2
CtTt,4,1
CtTtC,5,1
L,1,257079
L.,2,65
L.C,3,2
L.L,3,1
L.T,3,2
Lc,2,14273
Lc.,3,2
LcC,3,1003
LcC.,4,7
LcC.C,5,6
LcC.T,5,3
LcCc,4,18
LcCc.,5,3
LcCcC,5,33
LcCcL,5,1
LcCcT,5,13
LcCl,4,1
LcCl.,5,1
LcClL,5,1
LcCt,4,30
LcCtC,5,2
LcL,3,527
LcL.,4,1
LcLc,4,2
LcLcC,5,1
LcLcL,5,1
LcLt,4,1
LcT,3,143
LcT.,4,1
LcTc,4,2
Ll,2,1500
Ll..,4,1
LlC,3,160
LlCc,4,1
LlCl,4,1
LlClC,5,1
LlL,3,34
LlLcC,5,1
LlLl,4,4
LlLlC,5,1
LlLlL,5,2
LlT,3,96
LlT.,4,2
LlTl,4,20
Lt,2,9095
Lt.,3,1
LtC,3,310
LtC.,4,1
LtCc,4,1
LtCl,4,2
LtCt,4,3
LtCtC,5,1
LtL,3,335
LtL.,4,5
LtLc,4,2
LtLt,4,36
LtT,3,134
LtTt,4,1
T,1,231391
T.,2,34
T.C,3,4
Tc,2,7971
Tc.,3,4
Tc.c,4,1
TcC,3,549
TcC.,4,3
TcCc,4,29
TcCcC,5,8
TcCcL,5,1
TcCt,4,2
TcCt.,5,1
TcCtC,5,2
TcL,3,116
TcLc,4,1
TcT,3,256
TcT.,4,11
TcTc,4,47
TcTt,4,3
Tl,2,2132
TlC,3,117
TlCcC,5,2
TlClC,5,1
TlL,3,2
TlLt,4,1
TlT,3,54
Tt,2,4703
Tt.,3,1
TtC,3,295
TtC.,4,1
TtCc,4,1
TtCt,4,2
TtL,3,179
TtLc,4,1
TtT,3,458
TtTc,4,1
TtTl,4,1
TtTt,4,2
