signatures (1 letter),length,counts,,
,0,4743361,4743361,0.671331283
.,1,6492,2143780,0.30341072
C,1,1668162,154141,0.021815686
L,1,410135,22914,0.003243035
T,1,58887,1118,0.000158231
t,1,104,290,4.10439E-05
..,2,7,7065604,
.c,2,398,,
.l,2,72,,
.t,2,2,,
C.,2,285,,
CC,2,166,,
Cc,2,100751,,
Cl,2,18998,,
Ct,2,528,,
L.,2,79,,
LC,2,5,,
Lc,2,22081,,
Ll,2,5303,,
Lt,2,80,,
T.,2,14,,
TC,2,3,,
Tc,2,4002,,
Tl,2,1318,,
Tt,2,48,,
tc,2,1,,
..C,3,1,,
..L,3,2,,
.cC,3,71,,
.cL,3,7,,
.lC,3,4,,
.tT,3,1,,
C.C,3,34,,
C.L,3,6,,
CCC,3,1,,
CLC,3,1,,
Cc.,3,38,,
CcC,3,14781,,
CcL,3,1886,,
CcT,3,55,,
Cl.,3,9,,
ClC,3,2739,,
ClL,3,191,,
ClT,3,18,,
Ct.,3,1,,
CtC,3,28,,
CtL,3,10,,
CtT,3,7,,
L.C,3,8,,
L.L,3,1,,
Lc.,3,4,,
LcC,3,1379,,
LcL,3,516,,
LcT,3,9,,
LlC,3,270,,
LlL,3,33,,
LlT,3,4,,
LtC,3,2,,
LtL,3,8,,
LtT,3,4,,
T.C,3,1,,
T.T,3,1,,
Tc.,3,1,,
TcC,3,387,,
TcL,3,179,,
TcT,3,5,,
TlC,3,191,,
TlL,3,6,,
TlT,3,6,,
TtC,3,2,,
TtT,3,6,,
.cC.,4,1,,
C.Cc,4,3,,
C.Lc,4,1,,
Cc..,4,1,,
Cc.c,4,2,,
CcC.,4,132,,
CcCc,4,645,,
CcCl,4,30,,
CcCt,4,2,,
CcL.,4,9,,
CcLc,4,53,,
CcTc,4,2,,
CcTt,4,1,,
ClC.,4,9,,
ClCc,4,35,,
ClCl,4,6,,
ClLc,4,1,,
ClTl,4,1,,
CtLt,4,3,,
Lc.c,4,1,,
LcC.,4,15,,
LcCc,4,91,,
LcCl,4,2,,
LcL.,4,6,,
LcLc,4,39,,
LlC.,4,2,,
LlCc,4,5,,
LlLc,4,2,,
LlLl,4,4,,
LlLt,4,1,,
LtCl,4,1,,
LtLt,4,1,,
LtTt,4,1,,
TcCc,4,4,,
TcCt,4,1,,
TcLc,4,1,,
TlCc,4,1,,
TlLl,4,1,,
TtLt,4,1,,
TtT.,4,1,,
.cClC,5,1,,
Cc.cC,5,1,,
CcC..,5,1,,
CcC.C,5,15,,
CcC.L,5,1,,
CcCc.,5,18,,
CcCcC,5,133,,
CcCcL,5,11,,
CcCcT,5,2,,
CcClC,5,18,,
CcClL,5,2,,
CcClT,5,1,,
CcL.L,5,3,,
CcLc.,5,3,,
CcLcC,5,2,,
CcLcL,5,10,,
ClC.C,5,1,,
ClCcC,5,1,,
ClCcL,5,1,,
ClClC,5,3,,
ClClL,5,1,,
ClL.C,5,1,,
ClL.L,5,1,,
ClLcC,5,1,,
ClLlC,5,1,,
LcC..,5,1,,
LcC.C,5,1,,
LcC.L,5,2,,
LcCcC,5,27,,
LcCcL,5,1,,
LcCcT,5,1,,
LcClC,5,1,,
LlCcL,5,1,,
LlCl.,5,1,,
TcC.C,5,2,,
TcCc.,5,2,,
TcCcC,5,15,,
TcCcL,5,1,,
TlCcC,5,1,,
